IncidentType_ID,Type_Name,Category,Severity_Level,Detection_Method
202,DDoS,External,High,Network Monitoring
203,SQL Injection,External,High,WAF
204,Insider Threat,Internal,High,Manual Report
205,Credential Stuffing,External,Medium,Auth Logs
206,Misconfiguration,Internal,Medium,Audit
207,Zero-Day Exploit,External,Critical,Threat Intel
208,Phishing,External,Medium,SIEM
209,Malware,External,High,IDS
210,Ransomware,External,Critical,SIEM
211,DDoS,External,High,Network Monitoring
212,SQL Injection,External,High,WAF
213,Insider Threat,Internal,High,Manual Report
214,Credential Stuffing,External,Medium,Auth Logs
215,Misconfiguration,Internal,Medium,Audit
216,Zero-Day Exploit,External,Critical,Threat Intel
217,Phishing,External,Medium,SIEM
218,Malware,External,High,IDS
219,Ransomware,External,Critical,SIEM
220,DDoS,External,High,Network Monitoring
221,SQL Injection,External,High,WAF
222,Insider Threat,Internal,High,Manual Report
223,Credential Stuffing,External,Medium,Auth Logs
224,Misconfiguration,Internal,Medium,Audit
225,Zero-Day Exploit,External,Critical,Threat Intel
226,Phishing,External,Medium,SIEM
227,Malware,External,High,IDS
228,Ransomware,External,Critical,SIEM
229,DDoS,External,High,Network Monitoring
230,SQL Injection,External,High,WAF
231,Insider Threat,Internal,High,Manual Report
232,Credential Stuffing,External,Medium,Auth Logs
233,Misconfiguration,Internal,Medium,Audit
234,Zero-Day Exploit,External,Critical,Threat Intel
235,Phishing,External,Medium,SIEM
236,Malware,External,High,IDS
237,Ransomware,External,Critical,SIEM
238,DDoS,External,High,Network Monitoring
239,SQL Injection,External,High,WAF
240,Insider Threat,Internal,High,Manual Report
241,Credential Stuffing,External,Medium,Auth Logs
242,Misconfiguration,Internal,Medium,Audit
243,Zero-Day Exploit,External,Critical,Threat Intel
244,Phishing,External,Medium,SIEM
245,Malware,External,High,IDS
246,Ransomware,External,Critical,SIEM
247,DDoS,External,High,Network Monitoring
248,SQL Injection,External,High,WAF
249,Insider Threat,Internal,High,Manual Report
250,Credential Stuffing,External,Medium,Auth Logs
251,Misconfiguration,Internal,Medium,Audit
252,Zero-Day Exploit,External,Critical,Threat Intel
253,Phishing,External,Medium,SIEM
254,Malware,External,High,IDS
255,Ransomware,External,Critical,SIEM
256,DDoS,External,High,Network Monitoring
257,SQL Injection,External,High,WAF
258,Insider Threat,Internal,High,Manual Report
259,Credential Stuffing,External,Medium,Auth Logs
260,Misconfiguration,Internal,Medium,Audit
261,Zero-Day Exploit,External,Critical,Threat Intel
262,Phishing,External,Medium,SIEM
263,Malware,External,High,IDS
264,Ransomware,External,Critical,SIEM
265,DDoS,External,High,Network Monitoring
266,SQL Injection,External,High,WAF
267,Insider Threat,Internal,High,Manual Report
268,Credential Stuffing,External,Medium,Auth Logs
269,Misconfiguration,Internal,Medium,Audit
270,Zero-Day Exploit,External,Critical,Threat Intel
271,Phishing,External,Medium,SIEM
272,Malware,External,High,IDS
273,Ransomware,External,Critical,SIEM
274,DDoS,External,High,Network Monitoring
275,SQL Injection,External,High,WAF
276,Insider Threat,Internal,High,Manual Report
277,Credential Stuffing,External,Medium,Auth Logs
278,Misconfiguration,Internal,Medium,Audit
279,Zero-Day Exploit,External,Critical,Threat Intel
280,Phishing,External,Medium,SIEM
281,Malware,External,High,IDS
282,Ransomware,External,Critical,SIEM
283,DDoS,External,High,Network Monitoring
284,SQL Injection,External,High,WAF
285,Insider Threat,Internal,High,Manual Report
286,Credential Stuffing,External,Medium,Auth Logs
287,Misconfiguration,Internal,Medium,Audit
288,Zero-Day Exploit,External,Critical,Threat Intel
289,Phishing,External,Medium,SIEM
290,Malware,External,High,IDS
291,Ransomware,External,Critical,SIEM
292,DDoS,External,High,Network Monitoring
293,SQL Injection,External,High,WAF
294,Insider Threat,Internal,High,Manual Report
295,Credential Stuffing,External,Medium,Auth Logs
296,Misconfiguration,Internal,Medium,Audit
297,Zero-Day Exploit,External,Critical,Threat Intel
298,Phishing,External,Medium,SIEM
299,Malware,External,High,IDS
300,Ransomware,External,Critical,SIEM
301,DDoS,External,High,Network Monitoring
302,SQL Injection,External,High,WAF
303,Insider Threat,Internal,High,Manual Report
304,Credential Stuffing,External,Medium,Auth Logs
305,Misconfiguration,Internal,Medium,Audit
306,Zero-Day Exploit,External,Critical,Threat Intel
307,Phishing,External,Medium,SIEM
308,Malware,External,High,IDS
309,Ransomware,External,Critical,SIEM
310,DDoS,External,High,Network Monitoring
311,SQL Injection,External,High,WAF
312,Insider Threat,Internal,High,Manual Report
313,Credential Stuffing,External,Medium,Auth Logs
314,Misconfiguration,Internal,Medium,Audit
315,Zero-Day Exploit,External,Critical,Threat Intel
316,Phishing,External,Medium,SIEM
317,Malware,External,High,IDS
318,Ransomware,External,Critical,SIEM
319,DDoS,External,High,Network Monitoring
320,SQL Injection,External,High,WAF
321,Insider Threat,Internal,High,Manual Report
322,Credential Stuffing,External,Medium,Auth Logs
323,Misconfiguration,Internal,Medium,Audit
324,Zero-Day Exploit,External,Critical,Threat Intel
325,Phishing,External,Medium,SIEM
326,Malware,External,High,IDS
327,Ransomware,External,Critical,SIEM
328,DDoS,External,High,Network Monitoring
329,SQL Injection,External,High,WAF
330,Insider Threat,Internal,High,Manual Report
331,Credential Stuffing,External,Medium,Auth Logs
332,Misconfiguration,Internal,Medium,Audit
333,Zero-Day Exploit,External,Critical,Threat Intel
334,Phishing,External,Medium,SIEM
335,Malware,External,High,IDS
336,Ransomware,External,Critical,SIEM
337,DDoS,External,High,Network Monitoring
338,SQL Injection,External,High,WAF
339,Insider Threat,Internal,High,Manual Report
340,Credential Stuffing,External,Medium,Auth Logs
341,Misconfiguration,Internal,Medium,Audit
342,Zero-Day Exploit,External,Critical,Threat Intel
343,Phishing,External,Medium,SIEM
344,Malware,External,High,IDS
345,Ransomware,External,Critical,SIEM
346,DDoS,External,High,Network Monitoring
347,SQL Injection,External,High,WAF
348,Insider Threat,Internal,High,Manual Report
349,Credential Stuffing,External,Medium,Auth Logs
350,Misconfiguration,Internal,Medium,Audit
351,Zero-Day Exploit,External,Critical,Threat Intel
352,Phishing,External,Medium,SIEM
353,Malware,External,High,IDS
354,Ransomware,External,Critical,SIEM
355,DDoS,External,High,Network Monitoring
356,SQL Injection,External,High,WAF
357,Insider Threat,Internal,High,Manual Report
358,Credential Stuffing,External,Medium,Auth Logs
359,Misconfiguration,Internal,Medium,Audit
360,Zero-Day Exploit,External,Critical,Threat Intel
361,Phishing,External,Medium,SIEM
362,Malware,External,High,IDS
363,Ransomware,External,Critical,SIEM
364,DDoS,External,High,Network Monitoring
365,SQL Injection,External,High,WAF
366,Insider Threat,Internal,High,Manual Report
367,Credential Stuffing,External,Medium,Auth Logs
368,Misconfiguration,Internal,Medium,Audit
369,Zero-Day Exploit,External,Critical,Threat Intel
370,Phishing,External,Medium,SIEM
371,Malware,External,High,IDS
372,Ransomware,External,Critical,SIEM
373,DDoS,External,High,Network Monitoring
374,SQL Injection,External,High,WAF
375,Insider Threat,Internal,High,Manual Report
376,Credential Stuffing,External,Medium,Auth Logs
377,Misconfiguration,Internal,Medium,Audit
378,Zero-Day Exploit,External,Critical,Threat Intel
379,Phishing,External,Medium,SIEM
380,Malware,External,High,IDS
381,Ransomware,External,Critical,SIEM
382,DDoS,External,High,Network Monitoring
383,SQL Injection,External,High,WAF
384,Insider Threat,Internal,High,Manual Report
385,Credential Stuffing,External,Medium,Auth Logs
386,Misconfiguration,Internal,Medium,Audit
387,Zero-Day Exploit,External,Critical,Threat Intel
388,Phishing,External,Medium,SIEM
389,Malware,External,High,IDS
390,Ransomware,External,Critical,SIEM
391,DDoS,External,High,Network Monitoring
392,SQL Injection,External,High,WAF
393,Insider Threat,Internal,High,Manual Report
394,Credential Stuffing,External,Medium,Auth Logs
395,Misconfiguration,Internal,Medium,Audit
396,Zero-Day Exploit,External,Critical,Threat Intel
397,Phishing,External,Medium,SIEM
398,Malware,External,High,IDS
399,Ransomware,External,Critical,SIEM
400,DDoS,External,High,Network Monitoring
401,SQL Injection,External,High,WAF
402,Insider Threat,Internal,High,Manual Report
403,Credential Stuffing,External,Medium,Auth Logs
404,Misconfiguration,Internal,Medium,Audit
405,Zero-Day Exploit,External,Critical,Threat Intel
406,Phishing,External,Medium,SIEM
407,Malware,External,High,IDS
408,Ransomware,External,Critical,SIEM
409,DDoS,External,High,Network Monitoring
410,SQL Injection,External,High,WAF
411,Insider Threat,Internal,High,Manual Report
412,Credential Stuffing,External,Medium,Auth Logs
413,Misconfiguration,Internal,Medium,Audit
414,Zero-Day Exploit,External,Critical,Threat Intel
415,Phishing,External,Medium,SIEM
416,Malware,External,High,IDS
417,Ransomware,External,Critical,SIEM
418,DDoS,External,High,Network Monitoring
419,SQL Injection,External,High,WAF
420,Insider Threat,Internal,High,Manual Report
421,Credential Stuffing,External,Medium,Auth Logs
422,Misconfiguration,Internal,Medium,Audit
423,Zero-Day Exploit,External,Critical,Threat Intel
424,Phishing,External,Medium,SIEM
425,Malware,External,High,IDS
426,Ransomware,External,Critical,SIEM
427,DDoS,External,High,Network Monitoring
428,SQL Injection,External,High,WAF
429,Insider Threat,Internal,High,Manual Report
430,Credential Stuffing,External,Medium,Auth Logs
431,Misconfiguration,Internal,Medium,Audit
432,Zero-Day Exploit,External,Critical,Threat Intel
433,Phishing,External,Medium,SIEM
434,Malware,External,High,IDS
435,Ransomware,External,Critical,SIEM
436,DDoS,External,High,Network Monitoring
437,SQL Injection,External,High,WAF
438,Insider Threat,Internal,High,Manual Report
439,Credential Stuffing,External,Medium,Auth Logs
440,Misconfiguration,Internal,Medium,Audit
441,Zero-Day Exploit,External,Critical,Threat Intel
442,Phishing,External,Medium,SIEM
443,Malware,External,High,IDS
444,Ransomware,External,Critical,SIEM
445,DDoS,External,High,Network Monitoring
446,SQL Injection,External,High,WAF
447,Insider Threat,Internal,High,Manual Report
448,Credential Stuffing,External,Medium,Auth Logs
449,Misconfiguration,Internal,Medium,Audit
450,Zero-Day Exploit,External,Critical,Threat Intel
451,Phishing,External,Medium,SIEM
452,Malware,External,High,IDS
453,Ransomware,External,Critical,SIEM
454,DDoS,External,High,Network Monitoring
455,SQL Injection,External,High,WAF
456,Insider Threat,Internal,High,Manual Report
457,Credential Stuffing,External,Medium,Auth Logs
458,Misconfiguration,Internal,Medium,Audit
459,Zero-Day Exploit,External,Critical,Threat Intel
460,Phishing,External,Medium,SIEM
461,Malware,External,High,IDS
462,Ransomware,External,Critical,SIEM
463,DDoS,External,High,Network Monitoring
464,SQL Injection,External,High,WAF
465,Insider Threat,Internal,High,Manual Report
466,Credential Stuffing,External,Medium,Auth Logs
467,Misconfiguration,Internal,Medium,Audit
468,Zero-Day Exploit,External,Critical,Threat Intel
469,Phishing,External,Medium,SIEM
470,Malware,External,High,IDS
471,Ransomware,External,Critical,SIEM
472,DDoS,External,High,Network Monitoring
473,SQL Injection,External,High,WAF
474,Insider Threat,Internal,High,Manual Report
475,Credential Stuffing,External,Medium,Auth Logs
476,Misconfiguration,Internal,Medium,Audit
477,Zero-Day Exploit,External,Critical,Threat Intel
478,Phishing,External,Medium,SIEM
479,Malware,External,High,IDS
480,Ransomware,External,Critical,SIEM
481,DDoS,External,High,Network Monitoring
482,SQL Injection,External,High,WAF
483,Insider Threat,Internal,High,Manual Report
484,Credential Stuffing,External,Medium,Auth Logs
485,Misconfiguration,Internal,Medium,Audit
486,Zero-Day Exploit,External,Critical,Threat Intel
487,Phishing,External,Medium,SIEM
488,Malware,External,High,IDS
489,Ransomware,External,Critical,SIEM
490,DDoS,External,High,Network Monitoring
491,SQL Injection,External,High,WAF
492,Insider Threat,Internal,High,Manual Report
493,Credential Stuffing,External,Medium,Auth Logs
494,Misconfiguration,Internal,Medium,Audit
495,Zero-Day Exploit,External,Critical,Threat Intel
496,Phishing,External,Medium,SIEM
497,Malware,External,High,IDS
498,Ransomware,External,Critical,SIEM
499,DDoS,External,High,Network Monitoring
500,SQL Injection,External,High,WAF
501,Insider Threat,Internal,High,Manual Report
502,Credential Stuffing,External,Medium,Auth Logs
503,Misconfiguration,Internal,Medium,Audit
504,Zero-Day Exploit,External,Critical,Threat Intel
505,Phishing,External,Medium,SIEM
506,Malware,External,High,IDS
507,Ransomware,External,Critical,SIEM
508,DDoS,External,High,Network Monitoring
509,SQL Injection,External,High,WAF
510,Insider Threat,Internal,High,Manual Report
511,Credential Stuffing,External,Medium,Auth Logs
512,Misconfiguration,Internal,Medium,Audit
513,Zero-Day Exploit,External,Critical,Threat Intel
514,Phishing,External,Medium,SIEM
515,Malware,External,High,IDS
516,Ransomware,External,Critical,SIEM
517,DDoS,External,High,Network Monitoring
518,SQL Injection,External,High,WAF
519,Insider Threat,Internal,High,Manual Report
520,Credential Stuffing,External,Medium,Auth Logs
521,Misconfiguration,Internal,Medium,Audit
522,Zero-Day Exploit,External,Critical,Threat Intel
523,Phishing,External,Medium,SIEM
524,Malware,External,High,IDS
525,Ransomware,External,Critical,SIEM
526,DDoS,External,High,Network Monitoring
527,SQL Injection,External,High,WAF
528,Insider Threat,Internal,High,Manual Report
529,Credential Stuffing,External,Medium,Auth Logs
530,Misconfiguration,Internal,Medium,Audit
531,Zero-Day Exploit,External,Critical,Threat Intel
532,Phishing,External,Medium,SIEM
533,Malware,External,High,IDS
534,Ransomware,External,Critical,SIEM
535,DDoS,External,High,Network Monitoring
536,SQL Injection,External,High,WAF
537,Insider Threat,Internal,High,Manual Report
538,Credential Stuffing,External,Medium,Auth Logs
539,Misconfiguration,Internal,Medium,Audit
540,Zero-Day Exploit,External,Critical,Threat Intel
541,Phishing,External,Medium,SIEM
542,Malware,External,High,IDS
543,Ransomware,External,Critical,SIEM
544,DDoS,External,High,Network Monitoring
545,SQL Injection,External,High,WAF
546,Insider Threat,Internal,High,Manual Report
547,Credential Stuffing,External,Medium,Auth Logs
548,Misconfiguration,Internal,Medium,Audit
549,Zero-Day Exploit,External,Critical,Threat Intel
550,Phishing,External,Medium,SIEM
551,Malware,External,High,IDS
552,Ransomware,External,Critical,SIEM
553,DDoS,External,High,Network Monitoring
554,SQL Injection,External,High,WAF
555,Insider Threat,Internal,High,Manual Report
556,Credential Stuffing,External,Medium,Auth Logs
557,Misconfiguration,Internal,Medium,Audit
558,Zero-Day Exploit,External,Critical,Threat Intel
559,Phishing,External,Medium,SIEM
560,Malware,External,High,IDS
561,Ransomware,External,Critical,SIEM
562,DDoS,External,High,Network Monitoring
563,SQL Injection,External,High,WAF
564,Insider Threat,Internal,High,Manual Report
565,Credential Stuffing,External,Medium,Auth Logs
566,Misconfiguration,Internal,Medium,Audit
567,Zero-Day Exploit,External,Critical,Threat Intel
568,Phishing,External,Medium,SIEM
569,Malware,External,High,IDS
570,Ransomware,External,Critical,SIEM
571,DDoS,External,High,Network Monitoring
572,SQL Injection,External,High,WAF
573,Insider Threat,Internal,High,Manual Report
574,Credential Stuffing,External,Medium,Auth Logs
575,Misconfiguration,Internal,Medium,Audit
576,Zero-Day Exploit,External,Critical,Threat Intel
577,Phishing,External,Medium,SIEM
578,Malware,External,High,IDS
579,Ransomware,External,Critical,SIEM
580,DDoS,External,High,Network Monitoring
581,SQL Injection,External,High,WAF
582,Insider Threat,Internal,High,Manual Report
583,Credential Stuffing,External,Medium,Auth Logs
584,Misconfiguration,Internal,Medium,Audit
585,Zero-Day Exploit,External,Critical,Threat Intel
586,Phishing,External,Medium,SIEM
587,Malware,External,High,IDS
588,Ransomware,External,Critical,SIEM
589,DDoS,External,High,Network Monitoring
590,SQL Injection,External,High,WAF
591,Insider Threat,Internal,High,Manual Report
592,Credential Stuffing,External,Medium,Auth Logs
593,Misconfiguration,Internal,Medium,Audit
594,Zero-Day Exploit,External,Critical,Threat Intel
595,Phishing,External,Medium,SIEM
596,Malware,External,High,IDS
597,Ransomware,External,Critical,SIEM
598,DDoS,External,High,Network Monitoring
599,SQL Injection,External,High,WAF
600,Insider Threat,Internal,High,Manual Report
601,Credential Stuffing,External,Medium,Auth Logs
602,Misconfiguration,Internal,Medium,Audit
603,Zero-Day Exploit,External,Critical,Threat Intel
604,Phishing,External,Medium,SIEM
605,Malware,External,High,IDS
606,Ransomware,External,Critical,SIEM
607,DDoS,External,High,Network Monitoring
608,SQL Injection,External,High,WAF
609,Insider Threat,Internal,High,Manual Report
610,Credential Stuffing,External,Medium,Auth Logs
611,Misconfiguration,Internal,Medium,Audit
612,Zero-Day Exploit,External,Critical,Threat Intel
613,Phishing,External,Medium,SIEM
614,Malware,External,High,IDS
615,Ransomware,External,Critical,SIEM
616,DDoS,External,High,Network Monitoring
617,SQL Injection,External,High,WAF
618,Insider Threat,Internal,High,Manual Report
619,Credential Stuffing,External,Medium,Auth Logs
620,Misconfiguration,Internal,Medium,Audit
621,Zero-Day Exploit,External,Critical,Threat Intel
622,Phishing,External,Medium,SIEM
623,Malware,External,High,IDS
624,Ransomware,External,Critical,SIEM
625,DDoS,External,High,Network Monitoring
626,SQL Injection,External,High,WAF
627,Insider Threat,Internal,High,Manual Report
628,Credential Stuffing,External,Medium,Auth Logs
629,Misconfiguration,Internal,Medium,Audit
630,Zero-Day Exploit,External,Critical,Threat Intel
631,Phishing,External,Medium,SIEM
632,Malware,External,High,IDS
633,Ransomware,External,Critical,SIEM
634,DDoS,External,High,Network Monitoring
635,SQL Injection,External,High,WAF
636,Insider Threat,Internal,High,Manual Report
637,Credential Stuffing,External,Medium,Auth Logs
638,Misconfiguration,Internal,Medium,Audit
639,Zero-Day Exploit,External,Critical,Threat Intel
640,Phishing,External,Medium,SIEM
641,Malware,External,High,IDS
642,Ransomware,External,Critical,SIEM
643,DDoS,External,High,Network Monitoring
644,SQL Injection,External,High,WAF
645,Insider Threat,Internal,High,Manual Report
646,Credential Stuffing,External,Medium,Auth Logs
647,Misconfiguration,Internal,Medium,Audit
648,Zero-Day Exploit,External,Critical,Threat Intel
649,Phishing,External,Medium,SIEM
650,Malware,External,High,IDS
651,Ransomware,External,Critical,SIEM
652,DDoS,External,High,Network Monitoring
653,SQL Injection,External,High,WAF
654,Insider Threat,Internal,High,Manual Report
655,Credential Stuffing,External,Medium,Auth Logs
656,Misconfiguration,Internal,Medium,Audit
657,Zero-Day Exploit,External,Critical,Threat Intel
658,Phishing,External,Medium,SIEM
659,Malware,External,High,IDS
660,Ransomware,External,Critical,SIEM
661,DDoS,External,High,Network Monitoring
662,SQL Injection,External,High,WAF
663,Insider Threat,Internal,High,Manual Report
664,Credential Stuffing,External,Medium,Auth Logs
665,Misconfiguration,Internal,Medium,Audit
666,Zero-Day Exploit,External,Critical,Threat Intel
667,Phishing,External,Medium,SIEM
668,Malware,External,High,IDS
669,Ransomware,External,Critical,SIEM
670,DDoS,External,High,Network Monitoring
671,SQL Injection,External,High,WAF
672,Insider Threat,Internal,High,Manual Report
673,Credential Stuffing,External,Medium,Auth Logs
674,Misconfiguration,Internal,Medium,Audit
675,Zero-Day Exploit,External,Critical,Threat Intel
676,Phishing,External,Medium,SIEM
677,Malware,External,High,IDS
678,Ransomware,External,Critical,SIEM
679,DDoS,External,High,Network Monitoring
680,SQL Injection,External,High,WAF
681,Insider Threat,Internal,High,Manual Report
682,Credential Stuffing,External,Medium,Auth Logs
683,Misconfiguration,Internal,Medium,Audit
684,Zero-Day Exploit,External,Critical,Threat Intel
685,Phishing,External,Medium,SIEM
686,Malware,External,High,IDS
687,Ransomware,External,Critical,SIEM
688,DDoS,External,High,Network Monitoring
689,SQL Injection,External,High,WAF
690,Insider Threat,Internal,High,Manual Report
691,Credential Stuffing,External,Medium,Auth Logs
692,Misconfiguration,Internal,Medium,Audit
693,Zero-Day Exploit,External,Critical,Threat Intel
694,Phishing,External,Medium,SIEM
695,Malware,External,High,IDS
696,Ransomware,External,Critical,SIEM
697,DDoS,External,High,Network Monitoring
