ResponseID,Incident_ID,ActionTaken,ResponsibleTeam,ActionDate,Response_Time_Hours,Resolution_Effectiveness,Follow_Up_Required
254,22844,Patch Applied,SOC,20-10-2024,54.12,6,FALSE
255,28152,Patch Applied,SOC,12-07-2024,34.23,4,TRUE
256,9511,Backup Restored,Third-Party,,27.23,9,FALSE
257,24386,Patch Applied,IT,25-01-2023,73.03,2,FALSE
258,7806,Account Locked,SOC,09-01-2025,27.42,1,FALSE
259,26333,Patch Applied,Legal,,44.4,9,FALSE
260,43394,Forensic Analysis,Management,04-09-2025,67.52,8,FALSE
261,19357,Forensic Analysis,SOC,,4.2,9,TRUE
262,19071,Password Reset,SOC,,119.72,5,TRUE
263,32286,Legal Notified,IT,11-06-2024,86.49,1,FALSE
264,38348,Account Locked,Legal,10-04-2024,27.83,3,FALSE
265,33263,Backup Restored,Legal,,98.16,5,FALSE
266,43633,Password Reset,Legal,14-06-2025,61.1,9,FALSE
267,36345,Legal Notified,Legal,20-02-2025,109.33,6,FALSE
268,34913,Legal Notified,Third-Party,31-05-2023,9.06,8,TRUE
269,42930,Account Locked,IT,04-01-2024,79.95,3,TRUE
270,40008,Account Locked,IT,,29.15,3,FALSE
271,17646,Forensic Analysis,SOC,,112.36,8,FALSE
272,33122,Account Locked,Management,07-09-2024,49.49,4,FALSE
273,28238,Forensic Analysis,IT,03-01-2025,97.65,5,TRUE
274,3496,Account Locked,Third-Party,10-03-2023,89.21,2,FALSE
275,35233,Password Reset,Legal,24-07-2024,59.23,6,FALSE
276,23513,Backup Restored,SOC,,106.17,8,FALSE
277,47575,Legal Notified,SOC,25-06-2024,102.52,4,FALSE
278,33374,Password Reset,Third-Party,,48.4,1,FALSE
279,2123,Backup Restored,SOC,26-09-2025,9.8,7,FALSE
280,33200,Legal Notified,IT,29-10-2024,8.64,7,FALSE
281,37316,Forensic Analysis,Legal,28-12-2024,13.85,1,FALSE
282,46066,Account Locked,IT,15-07-2025,78.78,7,FALSE
283,12291,Forensic Analysis,SOC,,11.18,1,FALSE
284,9038,Forensic Analysis,SOC,18-04-2025,21.68,4,FALSE
285,34305,Backup Restored,IT,01-09-2025,17.72,6,TRUE
286,5270,Password Reset,SOC,17-09-2023,16.75,6,FALSE
287,12509,Forensic Analysis,IT,04-03-2025,27.92,6,FALSE
288,27263,Forensic Analysis,SOC,27-03-2025,3.42,1,FALSE
289,5705,Password Reset,IT,30-05-2024,31.79,4,TRUE
290,17508,Account Locked,Management,08-12-2024,93.86,3,TRUE
291,34503,Password Reset,Third-Party,10-11-2023,3.38,6,TRUE
292,6517,Password Reset,Third-Party,01-01-2024,68.15,7,TRUE
293,26047,Account Locked,Management,16-08-2025,31.46,4,FALSE
294,9643,Account Locked,Third-Party,,48.74,7,FALSE
295,19020,Account Locked,Management,19-01-2025,97.56,2,TRUE
296,11702,Account Locked,SOC,24-05-2025,39.83,3,FALSE
297,1125,Patch Applied,IT,22-07-2024,84.87,8,TRUE
298,17016,Patch Applied,Third-Party,01-09-2024,55.41,2,FALSE
299,42411,Account Locked,SOC,,57.3,3,FALSE
300,19180,Account Locked,Third-Party,21-08-2025,91.38,7,FALSE
301,2823,Patch Applied,SOC,02-01-2025,13.82,6,TRUE
302,32006,Forensic Analysis,Management,06-11-2023,59.9,4,FALSE
303,21425,Backup Restored,Legal,11-01-2025,33.99,2,FALSE
304,11913,Forensic Analysis,SOC,,24.03,2,FALSE
305,21113,Legal Notified,Legal,06-12-2024,93.97,4,FALSE
306,34484,Backup Restored,SOC,16-09-2023,18.62,8,FALSE
307,34073,Forensic Analysis,IT,02-06-2025,27.55,6,TRUE
308,45148,Backup Restored,SOC,07-06-2025,33.27,4,TRUE
309,10831,Backup Restored,SOC,21-10-2024,47.05,4,FALSE
310,5528,Password Reset,IT,25-07-2023,89.67,10,TRUE
311,5278,Legal Notified,SOC,09-12-2024,27.22,8,FALSE
312,19501,Backup Restored,IT,12-01-2024,53.2,4,FALSE
313,23417,Account Locked,Third-Party,27-11-2024,28.46,4,FALSE
314,24936,Account Locked,Management,26-07-2025,20.63,6,FALSE
315,29468,Account Locked,Legal,21-01-2025,85.07,8,FALSE
316,4760,Password Reset,Management,,0.11,2,FALSE
317,44242,Patch Applied,Third-Party,19-12-2022,20.62,4,FALSE
318,1573,Legal Notified,SOC,23-03-2024,2.17,6,FALSE
319,22263,Backup Restored,Third-Party,,97.37,2,FALSE
320,29263,Account Locked,Legal,09-05-2025,54.63,5,FALSE
321,47336,Forensic Analysis,Third-Party,15-02-2024,117.85,10,FALSE
322,30299,Backup Restored,Legal,19-12-2023,74.15,1,FALSE
323,16803,Password Reset,IT,05-04-2023,31.86,8,FALSE
324,43335,Legal Notified,SOC,26-01-2025,64.06,7,FALSE
325,31081,Legal Notified,IT,,67.88,5,FALSE
326,45082,Patch Applied,Legal,30-08-2025,99.65,8,FALSE
327,16663,Password Reset,IT,,117.24,4,FALSE
328,32520,Backup Restored,Legal,,92.75,2,TRUE
329,2292,Account Locked,Management,23-05-2025,45.05,8,FALSE
330,24568,Account Locked,Third-Party,,61.59,1,FALSE
331,45263,Backup Restored,Third-Party,08-08-2025,48.86,3,FALSE
332,15620,Legal Notified,Third-Party,18-08-2025,88.08,10,TRUE
333,41504,Patch Applied,SOC,06-09-2023,91.54,2,TRUE
334,38057,Password Reset,SOC,29-11-2023,112.55,2,FALSE
335,40047,Account Locked,Legal,07-02-2025,88.46,1,TRUE
336,40622,Forensic Analysis,Management,21-08-2025,52.29,2,FALSE
337,2746,Forensic Analysis,Management,22-11-2023,56.53,4,FALSE
338,47082,Patch Applied,Third-Party,24-11-2023,13.47,7,FALSE
339,41001,Account Locked,Legal,14-03-2024,68.94,2,TRUE
340,35292,Forensic Analysis,IT,,75.54,8,FALSE
341,27389,Forensic Analysis,Third-Party,14-06-2025,41.07,7,FALSE
342,8756,Backup Restored,SOC,28-09-2025,14.87,7,FALSE
343,20391,Legal Notified,Legal,16-08-2024,13.8,9,FALSE
344,9944,Backup Restored,SOC,29-09-2025,104.68,10,TRUE
345,8820,Backup Restored,SOC,,18.87,3,TRUE
346,17639,Legal Notified,Management,26-06-2024,70.06,2,TRUE
347,10697,Forensic Analysis,SOC,,3.79,9,TRUE
348,49757,Patch Applied,Third-Party,09-08-2024,46.52,2,FALSE
349,6510,Password Reset,Legal,13-07-2024,83.42,2,TRUE
350,28896,Forensic Analysis,Legal,,5.93,10,FALSE
351,4391,Forensic Analysis,Legal,30-06-2023,108.52,8,FALSE
352,3429,Password Reset,SOC,19-07-2023,39.29,9,TRUE
353,5518,Legal Notified,IT,,59.55,7,FALSE
354,41106,Patch Applied,IT,,58.78,8,TRUE
355,4979,Backup Restored,Legal,20-12-2024,99.01,3,TRUE
356,28828,Forensic Analysis,Third-Party,,31.55,5,FALSE
357,11093,Legal Notified,Third-Party,05-01-2023,68.16,8,FALSE
358,24539,Account Locked,IT,16-12-2022,70.71,1,TRUE
359,44657,Account Locked,Management,30-11-2024,38.07,3,TRUE
360,44233,Backup Restored,Third-Party,09-01-2025,59.01,8,FALSE
361,29850,Account Locked,SOC,26-09-2025,115.52,8,TRUE
362,9825,Password Reset,SOC,10-05-2025,30.37,8,TRUE
363,43132,Password Reset,Third-Party,01-06-2025,22.5,7,FALSE
364,2171,Account Locked,Legal,,56.5,7,TRUE
365,26607,Backup Restored,SOC,12-01-2025,85.43,4,TRUE
366,23439,Patch Applied,Management,,23.35,1,FALSE
367,12878,Forensic Analysis,SOC,12-04-2025,101.72,8,FALSE
368,47674,Account Locked,SOC,,98.42,10,TRUE
369,31061,Forensic Analysis,Management,28-01-2025,111.96,7,FALSE
370,36082,Backup Restored,Legal,04-06-2024,85.51,4,FALSE
371,47473,Forensic Analysis,IT,30-12-2024,16.86,6,FALSE
372,10378,Backup Restored,Management,,28.9,8,TRUE
373,9540,Backup Restored,SOC,,25.77,7,FALSE
374,22035,Patch Applied,Third-Party,,73.53,6,FALSE
375,4056,Legal Notified,IT,23-02-2024,111.6,1,TRUE
376,36990,Patch Applied,SOC,19-02-2025,80.23,1,TRUE
377,8141,Backup Restored,Legal,22-09-2025,60.45,1,TRUE
378,27713,Backup Restored,Third-Party,15-04-2024,15.03,2,TRUE
379,47895,Patch Applied,SOC,09-08-2023,98.93,5,TRUE
380,6085,Account Locked,Management,09-05-2025,4.64,9,TRUE
381,28049,Legal Notified,IT,29-03-2025,42.19,2,TRUE
382,22102,Forensic Analysis,IT,,58.04,4,FALSE
383,20189,Forensic Analysis,Third-Party,28-06-2025,86.98,2,FALSE
384,35508,Backup Restored,Management,08-01-2024,109.61,1,TRUE
385,17178,Account Locked,SOC,,84.7,6,TRUE
386,9107,Legal Notified,Third-Party,,2.32,10,FALSE
387,27776,Backup Restored,IT,22-11-2023,90.12,7,FALSE
388,36,Account Locked,Management,21-09-2024,57.21,4,FALSE
389,33341,Legal Notified,SOC,,0.62,10,TRUE
390,16664,Backup Restored,Legal,28-03-2025,20.03,4,TRUE
391,13125,Backup Restored,Third-Party,29-08-2025,36.88,1,TRUE
392,42260,Legal Notified,Legal,,20.01,9,TRUE
393,19540,Patch Applied,Third-Party,22-02-2024,40.17,1,FALSE
394,8189,Legal Notified,Third-Party,05-05-2024,57.72,2,FALSE
395,13377,Password Reset,Third-Party,14-11-2024,46.09,8,FALSE
396,23525,Patch Applied,Management,22-11-2023,58.67,8,TRUE
397,25819,Legal Notified,SOC,15-07-2023,83.23,2,FALSE
398,48853,Backup Restored,IT,,50.54,2,TRUE
399,32255,Patch Applied,Third-Party,,1.92,2,TRUE
400,18271,Forensic Analysis,SOC,27-11-2024,81.94,7,FALSE
401,34906,Legal Notified,Legal,18-01-2024,2.38,4,FALSE
402,123,Password Reset,SOC,,12.98,6,TRUE
403,37568,Account Locked,Legal,18-09-2023,99.42,8,FALSE
404,47284,Legal Notified,IT,,54.06,8,FALSE
405,32270,Backup Restored,IT,05-05-2025,87.86,3,FALSE
406,32363,Password Reset,Management,22-03-2023,62.7,5,TRUE
407,32075,Forensic Analysis,Legal,09-09-2025,61.65,8,FALSE
408,49007,Account Locked,Legal,,23.55,1,TRUE
409,23792,Patch Applied,SOC,,32,8,FALSE
410,23374,Password Reset,Management,25-10-2024,106.72,9,FALSE
411,41545,Backup Restored,Management,,75.21,6,TRUE
412,19639,Password Reset,SOC,30-07-2023,39.87,1,FALSE
413,20270,Backup Restored,Management,05-07-2024,76.99,2,TRUE
414,31907,Backup Restored,SOC,,22.15,7,TRUE
415,31096,Account Locked,Third-Party,07-09-2024,68.1,5,TRUE
416,397,Patch Applied,Management,30-03-2024,95.38,4,TRUE
417,25150,Legal Notified,Legal,03-01-2024,99.25,3,TRUE
418,46043,Legal Notified,IT,10-07-2023,35.32,9,FALSE
419,6174,Patch Applied,Third-Party,17-01-2024,106.05,6,FALSE
420,16383,Backup Restored,SOC,15-02-2024,105.16,8,FALSE
421,30857,Legal Notified,Third-Party,,82.94,5,FALSE
422,28180,Forensic Analysis,Third-Party,08-05-2025,21.58,2,FALSE
423,36612,Legal Notified,Legal,,75.25,2,FALSE
424,15195,Password Reset,IT,20-01-2024,109.18,3,FALSE
