Impact_ID,Incident_ID,Impact_Type,Downtime_Hours,Records_Compromised,Compliance_Breach, Estimated_Cost_USD 
35,5625,Data Loss,80.4,92880,TRUE," $5,36,920.75 "
36,8482,Data Loss,107.78,540671,FALSE," $11,95,213.88 "
37,24333,Data Loss,33.63,20962,TRUE," $96,865.62 "
38,48699,Data Loss,148.24,265299,FALSE," $18,18,136.12 "
39,1581,System Downtime,55.05,574822,FALSE," $21,46,904.80 "
40,11381,Data Loss,63.5,773969,TRUE," $54,43,763.77 "
41,35963,Reputational,156.77,782417,TRUE," $19,81,217.98 "
42,45419,Financial,61.41,730521,FALSE," $41,49,691.20 "
43,42222,System Downtime,222.37,537559,FALSE," $31,77,441.57 "
44,30524,Reputational,120.98,905971,TRUE," $12,14,803.02 "
45,46819,Reputational,155.3,404171,TRUE," $29,13,679.25 "
46,25873,Data Loss,167.96,938439,TRUE," $25,06,778.46 "
47,37431,System Downtime,212.4,718008,FALSE," $26,30,348.51 "
48,20786,Financial,123.22,126330,TRUE," $2,83,299.73 "
49,2423,Data Loss,121.61,236517,FALSE," $14,51,585.62 "
50,1598,Reputational,40.52,351472,TRUE," $7,92,804.91 "
51,20712,Reputational,147.2,952003,FALSE," $35,33,999.84 "
52,705,Data Loss,181.95,875513,FALSE," $28,33,368.80 "
53,46069,System Downtime,212.89,339071,FALSE," $20,42,256.21 "
54,14914,System Downtime,65.42,638711,FALSE," $25,30,839.50 "
55,42774,Reputational,69.71,460281,FALSE," $7,81,323.44 "
56,41731,Data Loss,65.31,603334,FALSE," $44,75,781.53 "
57,8774,Reputational,146.95,983268,FALSE," $25,68,960.36 "
58,48728,Reputational,106.86,881710,FALSE," $4,64,518.00 "
59,45069,Data Loss,63.9,888921,FALSE," $41,44,891.23 "
60,2426,Financial,124.4,928357,FALSE," $30,57,956.13 "
61,1829,Data Loss,219.28,397925,FALSE," $19,90,539.84 "
62,32499,Data Loss,16.8,841613,FALSE," $44,02,959.79 "
63,21586,Data Loss,82.16,869817,FALSE," $40,56,767.24 "
64,11909,Financial,214.61,355190,TRUE," $5,14,593.07 "
65,20080,Financial,91.45,895540,TRUE," $32,14,967.47 "
66,16319,Financial,227.12,283958,FALSE," $9,31,446.07 "
67,771,Data Loss,8.41,628356,FALSE," $47,18,536.55 "
68,29094,System Downtime,212.55,645863,FALSE," $6,97,148.91 "
69,49145,Financial,78.1,989191,FALSE," $71,71,115.90 "
70,23949,System Downtime,204.69,446108,FALSE," $22,32,016.42 "
71,13178,Reputational,180.47,771528,FALSE," $8,98,911.22 "
72,39254,Reputational,121.86,149142,FALSE," $10,03,088.14 "
73,46846,Reputational,166.12,592449,FALSE," $31,33,700.07 "
74,12524,System Downtime,46.46,504960,FALSE," $2,80,893.06 "
75,15954,System Downtime,101.52,383452,FALSE," $27,18,055.60 "
76,41712,Data Loss,147.79,738115,FALSE," $43,84,463.20 "
77,27041,Data Loss,140.57,713005,FALSE," $49,69,826.91 "
78,3883,System Downtime,189.02,615403,FALSE," $5,97,460.34 "
79,18553,System Downtime,182.31,48162,TRUE," $5,45,735.18 "
80,44603,System Downtime,104.33,546389,FALSE," $41,70,650.40 "
81,2486,Reputational,211.03,497773,TRUE," $22,34,238.72 "
82,43549,System Downtime,219.43,615308,TRUE," $40,73,727.89 "
83,19260,Reputational,159.71,478354,FALSE," $34,58,439.90 "
84,1437,System Downtime,5.11,675744,TRUE," $40,83,767.87 "
85,47295,Reputational,78.45,873097,FALSE," $13,77,802.36 "
86,16072,Financial,72.62,716075,FALSE," $45,88,792.39 "
87,34581,Data Loss,201.45,915861,FALSE," $36,42,004.40 "
88,1146,System Downtime,10.17,75859,FALSE," $4,10,961.36 "
89,36383,Financial,158.23,176668,TRUE," $3,09,501.96 "
90,4139,Reputational,239.06,561808,TRUE," $28,79,637.91 "
91,18905,Financial,203.55,506597,FALSE," $23,78,634.41 "
92,11776,Data Loss,102.68,262852,TRUE," $16,74,076.17 "
93,16865,Data Loss,145.01,891542,FALSE," $13,15,437.26 "
94,46867,Financial,120.31,838058,TRUE," $5,13,676.66 "
95,36354,Data Loss,51.19,760087,TRUE," $20,31,609.87 "
96,5701,System Downtime,108.33,552833,FALSE," $40,01,798.96 "
97,4818,Data Loss,27.1,340942,FALSE," $6,35,048.18 "
98,23238,Reputational,180.84,508734,FALSE," $2,96,512.12 "
99,12983,Financial,95.2,555558,TRUE," $28,12,077.96 "
100,41805,Data Loss,187.22,789897,TRUE," $38,25,264.22 "
101,3844,Data Loss,53.76,506620,TRUE," $11,80,865.81 "
102,29701,Reputational,76.58,736797,FALSE," $35,13,070.41 "
103,34604,Reputational,185.91,331853,FALSE," $4,73,854.33 "
104,32214,Financial,34.95,288534,TRUE," $6,98,275.87 "
105,26496,Data Loss,236.06,82573,FALSE," $4,91,600.00 "
106,22668,System Downtime,185.71,764387,FALSE," $29,78,124.13 "
107,46687,Data Loss,39.06,211060,FALSE," $11,38,463.34 "
108,18522,System Downtime,162.02,460532,TRUE," $35,48,878.77 "
109,45069,Reputational,218.57,333971,TRUE," $21,47,909.47 "
110,36329,Reputational,91.64,846682,TRUE," $33,30,415.61 "
111,15503,System Downtime,154.32,964149,FALSE," $43,49,516.27 "
112,34347,Reputational,99.28,702331,FALSE," $35,39,410.42 "
113,12178,Financial,138.99,726395,FALSE," $26,54,273.69 "
114,17706,Data Loss,20.1,820737,FALSE," $46,93,962.05 "
115,33021,Financial,113.8,643178,FALSE," $44,32,420.63 "
116,34461,Financial,17.13,590617,FALSE," $37,01,771.45 "
117,24395,Data Loss,31.22,63097,FALSE," $3,60,399.20 "
118,7722,System Downtime,64.75,417763,FALSE," $7,02,167.17 "
119,35311,System Downtime,73.74,904705,FALSE," $32,69,714.10 "
120,21358,System Downtime,26.65,857924,FALSE," $51,65,300.65 "
121,44863,Reputational,138.57,937253,TRUE," $37,13,031.61 "
122,40974,Reputational,53.79,334331,TRUE," $10,65,002.27 "
123,42840,Reputational,35.54,900652,FALSE," $26,05,004.42 "
124,24837,Reputational,37,824842,FALSE," $32,55,827.27 "
125,16602,System Downtime,156.02,754626,FALSE," $6,00,831.23 "
126,39238,Data Loss,40.5,80649,FALSE," $1,03,936.87 "
127,27353,Data Loss,161.49,326529,FALSE," $16,08,749.09 "
128,10830,Data Loss,40.96,311625,FALSE," $1,47,810.32 "
129,32755,System Downtime,162.97,46800,TRUE," $4,57,964.96 "
130,27602,Reputational,4.11,23314,FALSE," $69,964.72 "
131,19085,Reputational,82.85,648465,FALSE," $42,05,304.36 "
132,9710,Data Loss,118.89,744327,FALSE," $8,55,065.97 "
133,21306,System Downtime,217.47,388299,FALSE," $3,94,911.63 "
134,35160,System Downtime,145.76,849004,FALSE," $20,92,956.32 "
135,25489,Reputational,57.38,368953,FALSE," $10,22,080.86 "
136,15138,Financial,55.54,399088,FALSE," $20,56,774.04 "
137,23069,Reputational,21.27,651162,FALSE," $6,49,117.02 "
138,15667,System Downtime,110.53,445948,FALSE," $13,28,933.69 "
139,37772,Data Loss,219.21,17811,TRUE," $5,02,975.85 "
140,18363,System Downtime,129.67,824445,FALSE," $41,81,638.48 "
141,33812,Reputational,78.81,216045,TRUE," $7,76,311.23 "
142,2222,Reputational,46.63,267803,FALSE," $4,59,025.92 "
143,27942,System Downtime,197.16,937097,FALSE," $9,59,178.31 "
144,34885,Financial,213.29,590918,FALSE," $39,11,596.94 "
145,34491,System Downtime,112.55,236411,FALSE," $7,89,145.54 "
146,48742,Data Loss,238.42,333805,FALSE," $8,01,873.27 "
147,18939,Reputational,85.54,874494,FALSE," $17,23,132.70 "
148,12110,Financial,46.81,249556,FALSE," $4,00,134.96 "
149,41953,Financial,229.61,746061,FALSE," $40,54,834.19 "
150,9356,Reputational,134.53,483374,FALSE," $1,53,724.40 "
151,46830,Reputational,198.01,679359,FALSE," $15,08,109.17 "
152,41910,Data Loss,159.44,759786,FALSE," $37,56,919.48 "
153,48781,Financial,111.44,143745,TRUE," $11,37,500.86 "
154,32351,Financial,11.05,965466,TRUE," $18,63,282.79 "
155,32221,Reputational,218.91,25258,FALSE," $4,94,384.47 "
156,7452,System Downtime,145.45,155272,TRUE," $10,87,935.43 "
157,16956,System Downtime,147.64,551852,TRUE," $39,29,156.17 "
158,4547,Financial,24.37,975152,FALSE," $26,52,948.39 "
159,5486,Data Loss,0.63,394693,FALSE," $4,17,018.64 "
160,37538,Data Loss,115.01,359250,TRUE," $27,80,596.71 "
161,11766,Financial,33.64,414432,FALSE," $18,94,567.19 "
162,8137,Data Loss,121.87,641449,TRUE," $34,05,896.23 "
163,31817,Data Loss,187.51,67289,FALSE," $5,47,574.09 "
164,14684,Financial,88.96,747343,FALSE," $21,42,428.20 "
165,28081,Reputational,55.87,504212,FALSE," $17,07,538.69 "
166,34321,Financial,123.84,297203,FALSE," $6,39,008.01 "
167,31217,Financial,16.34,990195,FALSE," $12,03,582.05 "
168,2484,Reputational,77.27,281410,FALSE," $3,05,260.99 "
169,12956,Data Loss,3.38,114542,TRUE," $1,05,951.66 "
170,14917,Financial,1.22,946615,FALSE," $31,54,093.66 "
171,36248,Data Loss,127.99,569705,FALSE," $6,87,771.45 "
172,30618,Reputational,181.59,686605,FALSE," $21,19,162.39 "
173,11867,Financial,70.25,352866,FALSE," $20,74,177.30 "
174,19656,System Downtime,209.07,412294,TRUE," $21,05,566.61 "
175,5201,System Downtime,19.5,566562,TRUE," $14,71,380.25 "
176,11632,Reputational,188.63,591446,FALSE," $26,08,147.77 "
177,27870,Data Loss,192.99,631646,FALSE," $33,46,480.49 "
178,20965,Reputational,139.32,624044,FALSE," $12,06,252.78 "
179,7345,Reputational,219.38,683630,FALSE," $8,95,311.78 "
180,33087,Financial,120.8,676220,TRUE," $11,73,627.32 "
181,19680,Data Loss,103.96,929533,FALSE," $40,89,694.69 "
182,44210,System Downtime,161.86,415234,FALSE," $7,18,637.00 "
183,44150,System Downtime,166.03,198266,FALSE," $9,70,126.55 "
184,38312,System Downtime,189.03,643424,FALSE," $17,11,699.94 "
185,47629,Reputational,130.03,900943,FALSE," $65,07,072.30 "
186,6441,System Downtime,224.11,645878,FALSE," $38,10,668.54 "
187,9169,System Downtime,115.28,466098,TRUE," $22,86,080.12 "
188,19073,Financial,136.49,536015,FALSE," $6,35,674.48 "
189,18343,Financial,196.12,514637,FALSE," $27,08,076.20 "
190,15786,Financial,147.77,244681,FALSE," $10,03,323.74 "
191,13263,Financial,226.79,738142,TRUE," $22,21,992.30 "
192,11630,Reputational,158.6,928849,TRUE," $39,57,415.65 "
193,858,System Downtime,50.56,713870,FALSE," $38,17,091.18 "
194,36918,Financial,148.44,598521,FALSE," $5,58,316.70 "
195,49921,Financial,42.59,490500,FALSE," $26,01,695.91 "
196,42263,Reputational,52.65,305299,FALSE," $13,65,094.86 "
197,21427,System Downtime,46.12,607463,FALSE," $5,49,651.20 "
198,93,Data Loss,190.56,749288,TRUE," $17,69,448.76 "
199,37744,Financial,182.84,565419,FALSE," $37,22,199.62 "
200,27117,Reputational,201.78,937518,FALSE," $30,88,192.57 "
201,14907,Data Loss,196.99,871679,FALSE," $11,35,394.14 "
202,30996,Reputational,165.93,116939,FALSE," $3,82,076.54 "
203,1263,Financial,39.66,394650,FALSE," $7,87,477.88 "
204,48019,Financial,75.73,991090,FALSE," $64,26,490.15 "
205,13378,System Downtime,141.41,620945,FALSE," $26,40,744.47 "
206,25303,System Downtime,49.31,42930,FALSE," $3,46,261.03 "
207,41519,System Downtime,83.91,535635,FALSE," $28,97,676.42 "
208,15717,Reputational,103.34,544723,TRUE," $37,17,045.81 "
209,8620,Reputational,110.74,101301,TRUE," $1,32,091.01 "
210,5709,Financial,123.3,335498,FALSE," $23,30,309.77 "
211,21101,Financial,6.79,669984,FALSE," $3,28,680.85 "
212,12012,Financial,157.29,144048,FALSE," $11,05,735.92 "
213,1044,Financial,92.14,658260,FALSE," $9,43,545.53 "
214,30404,Financial,139.69,278842,FALSE," $4,73,554.92 "
215,42496,Financial,31.5,619974,FALSE," $20,98,447.33 "
216,25707,System Downtime,148.44,781024,FALSE," $49,44,536.44 "
217,4174,Reputational,30.57,109255,TRUE," $4,79,518.24 "
218,39809,Data Loss,185.32,253982,FALSE," $4,30,240.28 "
219,40827,Financial,195.45,820397,FALSE," $28,66,449.55 "
220,41390,Financial,112.05,382193,TRUE," $20,31,234.45 "
221,47422,Data Loss,49.12,146790,FALSE," $6,11,113.71 "
222,15851,Financial,167.95,739737,TRUE," $31,35,148.20 "
223,11796,Financial,98.64,64804,FALSE," $2,41,036.95 "
224,14919,Reputational,90.27,778897,TRUE," $46,58,002.45 "
225,7503,Reputational,196.17,596430,FALSE," $6,34,609.80 "
226,32366,Data Loss,57.79,428026,FALSE," $17,84,857.48 "
227,11748,Data Loss,32.4,84905,FALSE," $5,34,177.47 "
228,19998,System Downtime,32.68,752999,TRUE," $38,52,739.33 "
229,38369,Data Loss,44.76,364932,TRUE," $22,68,920.08 "
230,41068,Financial,231.29,118840,FALSE," $9,92,973.84 "
231,28242,System Downtime,12.37,201765,TRUE," $10,06,898.81 "
232,24458,System Downtime,53.66,565226,FALSE," $7,33,077.04 "
233,3200,Data Loss,224.71,366596,TRUE," $19,63,762.17 "
234,27584,Data Loss,29.18,806573,FALSE," $29,98,786.38 "
235,26114,Data Loss,180.86,242617,FALSE," $16,00,328.14 "
236,45126,Data Loss,77.92,234559,FALSE," $17,77,712.67 "
237,24961,System Downtime,220.61,505179,FALSE," $13,76,446.64 "
238,7428,Financial,26.07,2068,FALSE," $33,164.42 "
239,20580,Reputational,146.63,344862,TRUE," $5,33,105.34 "
240,27656,Reputational,147.12,578136,FALSE," $5,64,042.16 "
241,35486,Financial,230.74,221270,FALSE," $17,21,379.06 "
242,40046,Data Loss,187.02,739281,FALSE," $21,72,598.22 "
243,24753,System Downtime,152.87,461516,FALSE," $15,93,275.40 "
244,3910,System Downtime,226.94,907912,FALSE," $53,75,537.65 "
245,26346,Reputational,166.2,784580,FALSE," $27,15,984.91 "
246,18137,Financial,7.92,31511,TRUE," $1,78,626.02 "
247,5707,Reputational,178.29,883197,FALSE," $53,82,574.89 "
248,43704,Financial,197.93,911448,FALSE," $11,54,931.09 "
249,17045,Data Loss,150.91,508608,TRUE," $10,77,365.14 "
250,3164,Data Loss,132.39,584162,FALSE," $19,99,972.22 "
251,22456,Financial,138.21,9230,FALSE," $2,14,478.21 "
252,2022,Financial,167.23,202668,FALSE," $2,81,147.12 "
253,41135,Reputational,135.83,703031,FALSE," $45,71,850.81 "
254,12624,System Downtime,108.49,321392,FALSE," $12,14,761.51 "
255,35057,Data Loss,124.5,14227,FALSE," $1,67,907.18 "
256,46535,Financial,129.7,505888,FALSE," $5,13,790.68 "
257,28890,System Downtime,148.25,394895,FALSE," $23,96,102.63 "
258,39694,System Downtime,62.84,719098,FALSE," $8,58,240.24 "
259,31910,Data Loss,41.6,347287,FALSE," $6,31,754.63 "
260,39981,System Downtime,119.32,409958,FALSE," $26,41,524.73 "
261,21466,System Downtime,219.99,818028,FALSE," $7,57,905.16 "
262,30214,System Downtime,33.39,226112,FALSE," $5,16,927.66 "
263,4634,System Downtime,162.47,557812,TRUE," $14,81,500.02 "
264,20061,Data Loss,124.38,806485,FALSE," $60,16,989.93 "
265,48867,System Downtime,235.48,863942,TRUE," $39,16,425.45 "
266,2791,Financial,221.85,368107,FALSE," $14,27,315.76 "
267,16563,System Downtime,218.93,304247,TRUE," $25,47,111.34 "
268,33834,Financial,51.59,889992,FALSE," $35,29,298.23 "
269,18569,System Downtime,10.88,632221,FALSE," $7,88,491.62 "
270,12740,System Downtime,161.48,735807,TRUE," $48,33,956.07 "
271,42177,Data Loss,15.33,833887,FALSE," $58,94,152.02 "
272,17829,Reputational,106.46,369407,FALSE," $17,37,284.02 "
273,36961,Data Loss,104.3,330233,FALSE," $12,64,942.47 "
274,48452,Data Loss,65.13,379009,FALSE," $13,69,181.79 "
275,11337,Data Loss,231.92,42731,FALSE," $3,94,723.67 "
276,43953,Financial,94.01,930257,FALSE," $28,27,118.35 "
277,13220,System Downtime,211.65,651790,TRUE," $23,86,341.12 "
278,41734,Data Loss,164.1,436911,FALSE," $9,17,269.44 "
279,27779,Data Loss,117.08,913196,FALSE," $7,81,334.49 "
280,38608,System Downtime,134.18,360287,FALSE," $21,03,992.38 "
281,33345,Financial,170.7,134831,FALSE," $10,88,629.86 "
282,39147,Reputational,153.78,535242,TRUE," $32,17,507.73 "
283,27675,Financial,125.16,17767,FALSE," $1,98,476.60 "
284,2287,Reputational,223.48,400706,FALSE," $8,58,835.73 "
285,4876,Data Loss,205.1,805217,FALSE," $43,40,307.15 "
286,37260,Financial,50.81,981756,FALSE," $72,11,920.30 "
287,3652,System Downtime,190.9,443880,FALSE," $31,44,646.94 "
288,4247,Reputational,57.54,591063,FALSE," $35,29,062.46 "
289,17852,Financial,94.43,834925,FALSE," $37,15,566.76 "
290,13949,Data Loss,114.97,540054,FALSE," $13,37,758.32 "
291,35436,Financial,153.31,427494,FALSE," $4,53,974.44 "
292,6365,Reputational,10.68,609865,FALSE," $38,56,682.03 "
293,31456,Reputational,21.83,615005,FALSE," $21,72,907.59 "
294,11848,Data Loss,128.29,741345,FALSE," $18,49,857.69 "
295,18388,System Downtime,48.45,56808,FALSE," $3,95,761.19 "
296,9730,Financial,18.99,438867,FALSE," $25,54,999.77 "
297,29478,Data Loss,104.9,185718,FALSE," $8,55,287.19 "
298,16964,System Downtime,208.6,189641,FALSE," $11,55,567.44 "
299,587,System Downtime,112.43,199211,FALSE," $7,25,003.59 "
300,1263,System Downtime,189.2,43122,FALSE," $2,85,024.43 "
301,41842,Financial,69.91,444657,FALSE," $28,76,941.61 "
302,6521,System Downtime,36.33,71486,FALSE," $4,08,383.26 "
303,10133,Data Loss,105.98,571568,FALSE," $34,57,083.18 "
304,34835,Data Loss,55.4,945323,TRUE," $37,03,143.14 "
305,11047,System Downtime,90.63,658823,FALSE," $20,53,241.47 "
306,7478,System Downtime,61.75,986519,TRUE," $24,78,281.45 "
307,4781,System Downtime,72.55,540730,FALSE," $5,34,493.76 "
308,10828,System Downtime,200.76,527024,FALSE," $4,30,409.46 "
309,2353,Financial,191.63,248687,FALSE," $11,93,527.36 "
310,22876,Reputational,71.73,290844,FALSE," $6,93,902.18 "
311,31760,Financial,205.86,442140,FALSE," $35,21,447.51 "
312,32236,Reputational,64.82,50536,FALSE," $3,83,254.37 "
313,14442,System Downtime,9.46,83286,FALSE," $3,79,461.02 "
314,46361,Data Loss,110.16,901138,FALSE," $51,39,855.11 "
315,34334,Reputational,27.88,168652,FALSE," $6,09,842.84 "
316,35617,Financial,190.46,242880,TRUE," $16,02,773.27 "
317,41890,Reputational,213.43,826170,FALSE," $29,06,956.36 "
318,31923,Data Loss,237.73,866296,FALSE," $40,73,920.99 "
319,10991,Data Loss,65.35,323117,FALSE," $8,26,653.59 "
320,33952,Reputational,147.02,487479,FALSE," $4,78,663.83 "
321,39505,System Downtime,120.3,526950,FALSE," $15,60,737.65 "
322,12552,Reputational,229.88,613191,FALSE," $37,44,027.33 "
323,42388,Data Loss,111.04,321849,FALSE," $12,68,452.36 "
324,12924,System Downtime,88.28,345238,FALSE," $6,63,503.28 "
325,33917,System Downtime,8.56,644845,FALSE," $42,33,863.05 "
326,32589,Reputational,81.32,88219,TRUE," $5,86,993.56 "
327,13770,System Downtime,131.87,918465,FALSE," $57,35,727.93 "
328,40644,Data Loss,193.75,108828,TRUE," $3,42,820.02 "
329,34487,Data Loss,70.54,63023,FALSE," $2,76,462.87 "
330,40971,Financial,140.39,931466,FALSE," $15,39,446.65 "
331,34075,Financial,171.34,999843,FALSE," $74,43,340.49 "
332,35263,Data Loss,223.66,617073,FALSE," $41,40,431.33 "
333,7423,Financial,223.35,764073,TRUE," $37,79,416.70 "
334,20643,Data Loss,48.56,312752,TRUE," $19,51,013.38 "
335,15577,Data Loss,192.53,60461,TRUE," $5,59,520.08 "
336,4909,Reputational,24.05,239633,FALSE," $14,22,739.65 "
337,11609,Reputational,230.23,143364,FALSE," $13,48,707.81 "
338,33947,Data Loss,142.74,879730,FALSE," $48,12,018.07 "
339,39394,Financial,204.98,428567,FALSE," $13,42,706.95 "
340,47715,System Downtime,124.6,391487,FALSE," $27,93,203.80 "
341,6597,Data Loss,59.35,743132,TRUE," $9,88,809.26 "
342,21586,Data Loss,81.72,927396,FALSE," $13,39,097.69 "
343,46295,Reputational,214.39,308453,TRUE," $17,84,315.27 "
344,15217,Reputational,118.2,307933,FALSE," $15,58,195.21 "
345,31051,System Downtime,27.85,850282,FALSE," $16,45,266.50 "
346,32531,Reputational,102.09,127572,FALSE," $5,29,643.71 "
347,31807,Reputational,67.34,258040,TRUE," $18,89,712.29 "
348,24989,Reputational,157.56,679382,FALSE," $44,39,930.74 "
349,39311,Financial,111.31,148430,TRUE," $12,59,248.10 "
350,6200,Data Loss,103.49,336177,FALSE," $22,97,080.89 "
351,34261,Financial,214.45,374448,FALSE," $7,59,863.04 "
352,40473,Data Loss,70.02,94393,FALSE," $1,38,427.56 "
353,22057,Reputational,83.54,644466,FALSE," $6,15,623.26 "
354,41845,Financial,130,429002,TRUE," $3,88,628.95 "
355,12922,System Downtime,79.61,149310,FALSE," $10,07,264.03 "
356,17436,Reputational,99.23,952753,FALSE," $5,48,850.03 "
357,44034,Financial,151.74,411963,TRUE," $9,62,177.71 "
358,14096,System Downtime,108.9,714724,FALSE," $10,12,545.35 "
359,2072,Financial,197.83,558525,FALSE," $25,62,255.97 "
360,4877,Financial,29.39,667218,TRUE," $12,73,446.31 "
361,45045,Data Loss,216.56,710939,TRUE," $43,05,582.83 "
362,49456,System Downtime,183.72,329078,FALSE," $23,80,513.69 "
363,16384,Reputational,28.9,167195,FALSE," $9,76,489.72 "
364,27950,Data Loss,103.89,599664,FALSE," $28,15,860.31 "
365,34101,Financial,98.85,267851,TRUE," $8,72,778.34 "
366,40372,System Downtime,63.5,1770,FALSE," $85,070.49 "
367,43995,Financial,176.9,96839,FALSE," $7,34,533.37 "
368,777,Financial,81.77,947981,FALSE," $43,58,902.93 "
369,8096,Financial,149.37,282318,TRUE," $21,81,617.54 "
370,26354,System Downtime,55.22,999395,FALSE," $74,13,913.17 "
371,21143,System Downtime,175.62,484670,FALSE," $36,24,659.53 "
372,2356,Financial,56.67,587218,FALSE," $15,77,123.23 "
373,25062,Reputational,205.93,26569,TRUE," $5,38,294.82 "
374,22022,System Downtime,5.13,456568,TRUE," $11,43,366.25 "
375,26026,Data Loss,111.04,541871,FALSE," $17,63,247.52 "
376,45703,Reputational,31.61,604088,FALSE," $1,94,703.13 "
377,47704,Financial,10.69,459951,FALSE," $11,18,777.18 "
378,1172,System Downtime,48.54,333416,FALSE," $11,15,547.80 "
379,44462,Data Loss,199.55,922512,TRUE," $10,44,934.95 "
380,36990,System Downtime,179.78,385798,FALSE," $11,16,568.97 "
381,561,Reputational,227.57,510887,FALSE," $29,70,247.63 "
382,2731,System Downtime,37.54,765806,FALSE," $35,36,160.44 "
383,23430,Reputational,6.41,785683,TRUE," $43,20,427.04 "
384,28680,Reputational,177.85,268301,FALSE," $6,64,577.73 "
385,35999,Financial,18.92,106520,FALSE," $4,37,946.42 "
386,19601,Data Loss,86.32,360488,FALSE," $5,57,345.63 "
387,39084,Financial,217.26,359606,FALSE," $28,95,142.69 "
388,39281,System Downtime,116.32,920462,TRUE," $38,40,264.35 "
389,32286,System Downtime,161.89,332906,FALSE," $17,09,766.63 "
390,32391,Financial,9.13,74414,TRUE," $2,88,495.08 "
391,17861,System Downtime,190.3,780839,TRUE," $21,90,075.27 "
392,23581,Data Loss,12.18,776610,TRUE," $33,55,087.17 "
393,7589,Reputational,125.27,626876,FALSE," $15,58,859.88 "
394,20501,Data Loss,105.11,986352,FALSE," $37,78,123.32 "
395,2122,System Downtime,148.06,936246,FALSE," $58,89,103.61 "
396,24550,System Downtime,15.96,63308,FALSE," $4,22,284.77 "
397,22078,Financial,151.67,724114,FALSE," $37,19,915.53 "
398,48463,System Downtime,123.5,512358,FALSE," $13,09,308.86 "
399,41229,Financial,71.96,12395,TRUE," $70,577.16 "
400,46172,Reputational,205.12,732889,FALSE," $11,72,121.06 "
401,738,Reputational,107.71,881341,TRUE," $36,26,278.95 "
402,21889,System Downtime,7.47,919311,FALSE," $17,84,966.61 "
403,34826,Reputational,148.77,408591,FALSE," $21,96,875.88 "
404,39352,Reputational,142.21,855995,FALSE," $14,40,961.02 "
405,20428,System Downtime,186.64,699465,TRUE," $41,09,102.05 "
406,20922,System Downtime,47.17,171413,FALSE," $11,61,529.82 "
407,17345,Data Loss,176.63,412363,FALSE," $13,01,601.44 "
408,28542,Reputational,59.31,515976,FALSE," $25,18,114.00 "
409,15269,Reputational,173.84,640314,FALSE," $43,42,469.42 "
410,13863,Financial,139.9,328705,FALSE," $9,71,047.78 "
411,49022,System Downtime,95.07,796412,FALSE," $41,00,327.69 "
412,28907,Reputational,24.19,412005,FALSE," $29,35,412.71 "
413,23684,Data Loss,69.27,719814,FALSE," $9,65,627.06 "
414,11290,System Downtime,64.72,227385,FALSE," $8,99,178.59 "
415,22714,Financial,36.4,404032,FALSE," $29,61,761.64 "
416,39091,Financial,112.63,34327,FALSE," $1,13,787.40 "
417,2929,Reputational,161.65,218115,FALSE," $2,98,477.45 "
